datetime,position,value
2014-10-30 18:20:25,ai1,0.00553,SW Anemometer 4'
2014-10-30 18:20:25,ai2,0.52516,SE Anemometer 4'
2014-10-30 18:20:25,ai3,-0.00615,W Anemometer 4'
2014-10-30 18:20:25,ai4,-0.00268,Center Anemometer 4'
2014-10-30 18:20:25,ai5,0.00017,Center Anemometer 7'6
2014-10-30 18:20:25,ai6,0.01749,E Anemometer 4'
2014-10-30 18:20:25,ai7,-0.00685,N Anemometer 4'
2014-10-30 18:20:25,ai8,0.00197,N Anemometer 7'6
2014-10-30 18:20:25,ai9,-0.00099,S Setra
2014-10-30 18:20:25,ai10,-0.00101,E Outer Setra
2014-10-30 18:20:25,ai11,-0.00243,NW P26
2014-10-30 18:20:25,ai12,-0.00095,E Inner Setra
2014-10-30 18:20:25,ai13,-0.001,N Setra
2014-10-30 18:20:26,ai0,0.00124,NE Anemometer 4'
2014-10-30 18:20:26,ai1,0.00266,SW Anemometer 4'
2014-10-30 18:20:26,ai2,0.11365,SE Anemometer 4'
2014-10-30 18:20:26,ai3,0.00043,W Anemometer 4'
2014-10-30 18:20:26,ai4,0.0002,Center Anemometer 4'
2014-10-30 18:20:26,ai5,0.0014,Center Anemometer 7'6
2014-10-30 18:20:26,ai6,0.00352,E Anemometer 4'
2014-10-30 18:20:26,ai7,0.01001,N Anemometer 4'
2014-10-30 18:20:26,ai8,0.00033,N Anemometer 7'6
2014-10-30 18:20:26,ai9,-0.00098,S Setra
2014-10-30 18:20:26,ai10,-0.00096,E Outer Setra
2014-10-30 18:20:26,ai11,-0.00251,NW P26
2014-10-30 18:20:26,ai12,-0.001,E Inner Setra
2014-10-30 18:20:26,ai13,-0.001,N Setra
2014-10-30 18:20:27,ai0,0.00083,NE Anemometer 4'
2014-10-30 18:20:27,ai1,-0.00063,SW Anemometer 4'
2014-10-30 18:20:27,ai2,0.11735,SE Anemometer 4'
2014-10-30 18:20:27,ai3,0.00208,W Anemometer 4'
2014-10-30 18:20:27,ai4,-0.00433,Center Anemometer 4'
2014-10-30 18:20:27,ai5,0.0088,Center Anemometer 7'6
2014-10-30 18:20:27,ai6,0.00187,E Anemometer 4'
2014-10-30 18:20:27,ai7,0.01165,N Anemometer 4'
2014-10-30 18:20:27,ai8,-0.0042,N Anemometer 7'6
2014-10-30 18:20:27,ai9,-0.00098,S Setra
2014-10-30 18:20:27,ai10,-0.00097,E Outer Setra
2014-10-30 18:20:27,ai11,-0.00252,NW P26
2014-10-30 18:20:27,ai12,-0.00101,E Inner Setra
2014-10-30 18:20:27,ai13,-0.001,N Setra
2014-10-30 18:20:28,ai0,-0.00945,NE Anemometer 4'
2014-10-30 18:20:28,ai1,-0.00228,SW Anemometer 4'
2014-10-30 18:20:28,ai2,0.15517,SE Anemometer 4'
2014-10-30 18:20:28,ai3,0.00208,W Anemometer 4'
2014-10-30 18:20:28,ai4,-0.00309,Center Anemometer 4'
2014-10-30 18:20:28,ai5,0.00099,Center Anemometer 7'6
2014-10-30 18:20:28,ai6,0.00269,E Anemometer 4'
2014-10-30 18:20:28,ai7,-0.00603,N Anemometer 4'
2014-10-30 18:20:28,ai8,-0.00132,N Anemometer 7'6
2014-10-30 18:20:28,ai9,-0.00103,S Setra
2014-10-30 18:20:28,ai10,-0.00082,E Outer Setra
2014-10-30 18:20:28,ai11,-0.00245,NW P26
2014-10-30 18:20:28,ai12,-0.001,E Inner Setra
2014-10-30 18:20:28,ai13,-0.001,N Setra
2014-10-30 18:20:29,ai0,-0.00082,NE Anemometer 4'
2014-10-30 18:20:29,ai1,-0.00063,SW Anemometer 4'
2014-10-30 18:20:29,ai2,0.10255,SE Anemometer 4'
2014-10-30 18:20:29,ai3,-0.00902,W Anemometer 4'
2014-10-30 18:20:29,ai4,-0.00063,Center Anemometer 4'
2014-10-30 18:20:29,ai5,0.00263,Center Anemometer 7'6
2014-10-30 18:20:29,ai6,-0.00471,E Anemometer 4'
2014-10-30 18:20:29,ai7,0.00137,N Anemometer 4'
2014-10-30 18:20:29,ai8,-0.00255,N Anemometer 7'6
2014-10-30 18:20:29,ai9,-0.00107,S Setra
2014-10-30 18:20:29,ai10,-0.00099,E Outer Setra
2014-10-30 18:20:29,ai11,-0.00255,NW P26
2014-10-30 18:20:29,ai12,-0.00102,E Inner Setra
2014-10-30 18:20:29,ai13,-0.001,N Setra
2014-10-30 18:20:30,ai0,0.00535,NE Anemometer 4'
2014-10-30 18:20:30,ai1,0.00101,SW Anemometer 4'
